# JPS / A* · MovingAI .scen 正确性报告   2026-07-04 22:42:47
构建配置（JPS.Core）：斜穿角=禁止
范围：movingai/ 全部，共 1354 个 .scen 文件，每个 全部用例
并行：每张图加载后用 8 线程（CPU 16 的 1/2）共享同一 JpsSystem 跑该图的用例（兼测 JPS 多线程安全）
原生库：JPS.Native.dll 已加载（G:\GitHub\JPS\x64\Release\JPS.Native.dll）→ 每条用例校验「C 版 JPS 路径 == C# 版 JPS 路径」

校验项：
  ① JPS 整数代价 == A* 整数代价（最优性）
  ② JPS 路径合法（相邻/可走/不切角）
  ③ JPS 真实长度 ≈ 官方最优
  ④ C 版 JPS == C# 版 JPS：compact path 与平滑路径均逐点严格一致（强一致）
  ⑤ 随机改图+还原致缓存失效后，冷重扫 == 热结果
列说明：
  n=用例数  pass=三项全过  jFail=JPS无解(A*有解)  subopt=JPS≠A*  inval=路径非法
  refL=比官方长  refS=比官方短  mism=C≠C#(compact 或平滑不一致)  cold=失效重扫≠热结果

------------------------------------------------------------------------------------------------------------
scen                                               n    pass  jFail  subopt  inval   refL   refS   mism   cold
bg512-map/AR0704SR.map                          1530    1530      0       0      0      0      0      0      0
bg512-map/AR0705SR.map                          2800    2800      0       0      0      0      0      0      0
bg512-map/AR0709SR.map                          1260    1260      0       0      0      0      0      0      0
bg512-map/AR0711SR.map                          1900    1900      0       0      0      0      0      0      0
bgmaps-map/AR0011SR.map                          930     930      0       0      0      0      0      0      0
bgmaps-map/AR0012SR.map                          380     380      0       0      0      0      0      0      0
bgmaps-map/AR0013SR.map                          360     360      0       0      0      0      0      0      0
bgmaps-map/AR0014SR.map                          349     349      0       0      0      0      0      0      0
bgmaps-map/AR0015SR.map                          200     200      0       0      0      0      0      0      0
bgmaps-map/AR0016SR.map                          220     220      0       0      0      0      0      0      0
bgmaps-map/AR0017SR.map                          220     220      0       0      0      0      0      0      0
bgmaps-map/AR0018SR.map                          250     250      0       0      0      0      0      0      0
bgmaps-map/AR0020SR.map                          190     190      0       0      0      0      0      0      0
bgmaps-map/AR0021SR.map                          170     170      0       0      0      0      0      0      0
bgmaps-map/AR0022SR.map                          150     150      0       0      0      0      0      0      0
bgmaps-map/AR0041SR.map                          230     230      0       0      0      0      0      0      0
bgmaps-map/AR0042SR.map                          240     240      0       0      0      0      0      0      0
bgmaps-map/AR0043SR.map                          210     210      0       0      0      0      0      0      0
bgmaps-map/AR0044SR.map                          250     250      0       0      0      0      0      0      0
bgmaps-map/AR0045SR.map                          210     210      0       0      0      0      0      0      0
bgmaps-map/AR0046SR.map                          240     240      0       0      0      0      0      0      0
bgmaps-map/AR0069SR.map                          220     220      0       0      0      0      0      0      0
bgmaps-map/AR0070SR.map                          680     680      0       0      0      0      0      0      0
bgmaps-map/AR0071SR.map                          510     510      0       0      0      0      0      0      0
bgmaps-map/AR0072SR.map                          630     630      0       0      0      0      0      0      0
bgmaps-map/AR0082SR.map                           60      60      0       0      0      0      0      0      0
bgmaps-map/AR0201SR.map                          380     380      0       0      0      0      0      0      0
